id,franchID,franchName,wins,losses,R,AB,salary_mean,salary_sum
1900,CIN,Cincinnati Reds,62,77,703,5026,NA,NA
1900,LAD,Los Angeles Dodgers,82,54,816,4860,NA,NA
1900,PHI,Philadelphia Phillies,75,63,810,4969,NA,NA
1900,PIT,Pittsburgh Pirates,79,60,733,4817,NA,NA
1900,SFG,San Francisco Giants,60,78,713,4724,NA,NA
1900,STL,St. Louis Cardinals,65,75,744,4877,NA,NA
1901,ATL,Atlanta Braves,69,69,531,4746,NA,NA
1901,BAL,Baltimore Orioles,48,89,641,4795,NA,NA
1901,BOS,Boston Red Sox,79,57,759,4866,NA,NA
1901,CHC,Chicago Cubs,53,86,578,4844,NA,NA
1901,CHW,Chicago White Sox,83,53,819,4725,NA,NA
1901,CIN,Cincinnati Reds,52,87,561,4914,NA,NA
1901,CLE,Cleveland Indians,54,82,667,4833,NA,NA
1901,DET,Detroit Tigers,74,61,741,4676,NA,NA
1901,LAD,Los Angeles Dodgers,79,57,744,4879,NA,NA
1901,MIN,Minnesota Twins,61,72,682,4772,NA,NA
1901,NYY,New York Yankees,68,65,760,4589,NA,NA
1901,OAK,Oakland Athletics,74,62,805,4882,NA,NA
1901,PHI,Philadelphia Phillies,83,57,668,4793,NA,NA
1901,PIT,Pittsburgh Pirates,90,49,776,4913,NA,NA
1901,SFG,San Francisco Giants,52,85,544,4839,NA,NA
1901,STL,St. Louis Cardinals,76,64,792,5039,NA,NA
1902,ATL,Atlanta Braves,73,64,572,4728,NA,NA
1902,BAL,Baltimore Orioles,78,58,619,4736,NA,NA
1902,BOS,Boston Red Sox,77,60,664,4875,NA,NA
1902,CHC,Chicago Cubs,68,69,530,4802,NA,NA
1902,CHW,Chicago White Sox,74,60,675,4654,NA,NA
1902,CIN,Cincinnati Reds,70,70,633,4908,NA,NA
1902,CLE,Cleveland Indians,69,67,686,4840,NA,NA
1902,DET,Detroit Tigers,52,83,566,4644,NA,NA
