name,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,time_0900_0959
"Brevard, NC",35.202147,-82.7983,15.969426056097728,43959.0,24.386389755376786,49.9,88.0,7.0,3.0,80.0,11.0,0.0,2.0,2.0,5.0,6.0
"Bridgeport-Stamford-Norwalk, CT",41.22496,-73.371205,26.348255834926587,83163.0,28.680504121087814,39.6,88.0,7.0,1.0,73.0,8.0,9.0,3.0,1.0,5.0,6.0
"Brookhaven, MS",31.532392,-90.453998,19.367922933919214,35502.0,28.44231080862097,38.1,93.0,5.0,2.0,89.0,6.0,0.0,1.0,2.0,2.0,4.0
"Brookings, OR",42.466613,-124.215341,22.00338586995398,41939.0,13.135075041689827,54.1,84.0,6.0,2.0,74.0,11.0,0.0,7.0,1.0,7.0,7.0
"Brookings, SD",44.36968,-96.790422,18.64231706813205,48406.0,13.710277116133156,26.2,68.0,15.0,9.0,75.0,9.0,0.0,7.0,4.0,5.0,4.0
"Brownsville-Harlingen, TX",26.151501,-97.45286,22.318059299191376,33390.0,19.84027209712834,31.0,90.0,8.0,1.0,81.0,11.0,1.0,2.0,2.0,3.0,6.0
"Brownwood, TX",31.774262,-98.999794,17.890781318627692,40982.0,17.44216810257106,39.8,91.0,4.0,4.0,86.0,11.0,0.0,1.0,1.0,1.0,4.0
"Brunswick, GA",31.305534,-81.587174,21.709227102485528,44055.0,21.609588263347945,40.6,82.0,10.0,4.0,82.0,10.0,1.0,1.0,2.0,4.0,5.0
"Bucyrus, OH",40.850773,-82.919778,18.99606061338425,41377.0,21.570642309268692,42.5,86.0,9.0,3.0,83.0,11.0,0.0,2.0,1.0,2.0,3.0
"Buffalo-Cheektowaga-Niagara Falls, NY",43.037868,-78.775384,19.469305681504554,50726.0,21.0182301727603,40.9,88.0,8.0,2.0,82.0,8.0,3.0,3.0,1.0,2.0,5.0
"Burley, ID",42.415029,-113.608892,17.08233071716104,44467.0,16.142650880739243,33.6,86.0,6.0,5.0,81.0,12.0,0.0,3.0,1.0,4.0,4.0
