name,state,breast,colorectal,prostate,lung,melanoma,poverty,income,region,lat,lon
st. lucie,fl,104.7,34.6,98.7,64.5,18.6,19,42825,south_atlantic,27.380866,-80.445603
sumter,fl,110.6,32.1,117.5,65.3,21.6,12,52670,south_atlantic,28.704822,-82.080995
suwannee,fl,103,38.5,92.6,87.2,20.6,24.6,35666,south_atlantic,30.195612,-82.991492
union,fl,195.5,118.8,237.4,203.7,33,23.8,40841,south_atlantic,30.043839,-82.371442
volusia,fl,110.7,37,79.8,70.8,24.7,16.6,40908,south_atlantic,29.063452,-81.148572
wakulla,fl,127.8,42.7,105.7,95.9,15,15.9,47430,south_atlantic,30.147773,-84.375607
walton,fl,109,35.9,74.9,74.3,21.6,19.3,45357,south_atlantic,30.618469,-86.171516
washington,fl,72.6,33.6,70.2,74.7,19.3,23.4,35671,south_atlantic,30.610592,-85.665329
baldwin,ga,97.9,46.9,127.6,73.5,11,31.8,35815,south_atlantic,33.069276,-83.249591
banks,ga,81.2,57.9,105.6,65.2,39.1,17.4,42495,south_atlantic,34.354134,-83.497372
barrow,ga,105,35,115.9,89.6,26.2,14.4,54668,south_atlantic,33.993196,-83.712755
bartow,ga,124.2,52.3,115.5,91.3,23.1,19.1,46330,south_atlantic,34.237855,-84.840499
bibb,ga,124.7,47.8,167.8,79.4,10.8,29.2,36816,south_atlantic,32.806498,-83.69742
brantley,ga,73.5,42.2,76.6,87.8,20.1,22.5,36758,south_atlantic,31.196876,-81.981895
bryan,ga,111.5,52.4,111.8,84.3,28.2,10.1,66066,south_atlantic,32.013224,-81.442472
bulloch,ga,113.2,31.9,73.7,78.6,18.2,30.6,36484,south_atlantic,32.396814,-81.743182
burke,ga,120.3,56.9,123.7,85.9,13.1,32,32675,south_atlantic,33.061154,-82.000781
butts,ga,104.8,39,161.4,95.7,18.6,22,43330,south_atlantic,33.287851,-83.95717
