year,team,team_name,league
1965,CLE,Cleveland Indians,AL
1965,DET,Detroit Tigers,AL
1965,HOU,Houston Astros,NL
1965,KC1,Kansas City Athletics,AL
1965,LAN,Los Angeles Dodgers,NL
1965,MIN,Minnesota Twins,AL
1965,ML1,Milwaukee Braves,NL
1965,NYA,New York Yankees,AL
1965,NYN,New York Mets,NL
1965,PHI,Philadelphia Phillies,NL
1965,PIT,Pittsburgh Pirates,NL
1965,SFN,San Francisco Giants,NL
1965,SLN,St. Louis Cardinals,NL
1965,WS2,Washington Senators,AL
1966,ATL,Atlanta Braves,NL
1966,BAL,Baltimore Orioles,AL
1966,BOS,Boston Red Sox,AL
1966,CAL,California Angels,AL
1966,CHA,Chicago White Sox,AL
1966,CHN,Chicago Cubs,NL
1966,CIN,Cincinnati Reds,NL
1966,CLE,Cleveland Indians,AL
1966,DET,Detroit Tigers,AL
1966,HOU,Houston Astros,NL
1966,KC1,Kansas City Athletics,AL
1966,LAN,Los Angeles Dodgers,NL
1966,MIN,Minnesota Twins,AL
1966,NYA,New York Yankees,AL
1966,NYN,New York Mets,NL
1966,PHI,Philadelphia Phillies,NL
1966,PIT,Pittsburgh Pirates,NL
1966,SFN,San Francisco Giants,NL
1966,SLN,St. Louis Cardinals,NL
1966,WS2,Washington Senators,AL
1967,ATL,Atlanta Braves,NL
1967,BAL,Baltimore Orioles,AL
1967,BOS,Boston Red Sox,AL
1967,CAL,California Angels,AL
1967,CHA,Chicago White Sox,AL
1967,CHN,Chicago Cubs,NL
1967,CIN,Cincinnati Reds,NL
1967,CLE,Cleveland Indians,AL
1967,DET,Detroit Tigers,AL
1967,HOU,Houston Astros,NL
1967,KC1,Kansas City Athletics,AL
1967,LAN,Los Angeles Dodgers,NL
1967,MIN,Minnesota Twins,AL
1967,NYA,New York Yankees,AL
1967,NYN,New York Mets,NL
1967,PHI,Philadelphia Phillies,NL
1967,PIT,Pittsburgh Pirates,NL
1967,SFN,San Francisco Giants,NL
1967,SLN,St. Louis Cardinals,NL
1967,WS2,Washington Senators,AL
1968,ATL,Atlanta Braves,NL
1968,BAL,Baltimore Orioles,AL
1968,BOS,Boston Red Sox,AL
1968,CAL,California Angels,AL
1968,CHA,Chicago White Sox,AL
1968,CHN,Chicago Cubs,NL
1968,CIN,Cincinnati Reds,NL
1968,CLE,Cleveland Indians,AL
1968,DET,Detroit Tigers,AL
1968,HOU,Houston Astros,NL
1968,LAN,Los Angeles Dodgers,NL
1968,MIN,Minnesota Twins,AL
1968,NYA,New York Yankees,AL
1968,NYN,New York Mets,NL
1968,OAK,Oakland Athletics,AL
1968,PHI,Philadelphia Phillies,NL
1968,PIT,Pittsburgh Pirates,NL
1968,SFN,San Francisco Giants,NL
1968,SLN,St. Louis Cardinals,NL
1968,WS2,Washington Senators,AL
1969,ATL,Atlanta Braves,NL
1969,BAL,Baltimore Orioles,AL
1969,BOS,Boston Red Sox,AL
1969,CAL,California Angels,AL
1969,CHA,Chicago White Sox,AL
1969,CHN,Chicago Cubs,NL
1969,CIN,Cincinnati Reds,NL
1969,CLE,Cleveland Indians,AL
1969,DET,Detroit Tigers,AL
1969,HOU,Houston Astros,NL
1969,KCA,Kansas City Royals,AL
1969,LAN,Los Angeles Dodgers,NL
1969,MIN,Minnesota Twins,AL
1969,MON,Montreal Expos,NL
1969,NYA,New York Yankees,AL
1969,NYN,New York Mets,NL
1969,OAK,Oakland Athletics,AL
1969,PHI,Philadelphia Phillies,NL
1969,PIT,Pittsburgh Pirates,NL
1969,SDN,San Diego Padres,NL
1969,SE1,Seattle Pilots,AL
1969,SFN,San Francisco Giants,NL
1969,SLN,St. Louis Cardinals,NL
1969,WS2,Washington Senators,AL
1970,ATL,Atlanta Braves,NL
1970,BAL,Baltimore Orioles,AL
1970,BOS,Boston Red Sox,AL
1970,CAL,California Angels,AL
1970,CHA,Chicago White Sox,AL
1970,CHN,Chicago Cubs,NL
1970,CIN,Cincinnati Reds,NL
1970,CLE,Cleveland Indians,AL
1970,DET,Detroit Tigers,AL
1970,HOU,Houston Astros,NL
1970,KCA,Kansas City Royals,AL
1970,LAN,Los Angeles Dodgers,NL
1970,MIN,Minnesota Twins,AL
1970,ML4,Milwaukee Brewers,AL
1970,MON,Montreal Expos,NL
1970,NYA,New York Yankees,AL
1970,NYN,New York Mets,NL
1970,OAK,Oakland Athletics,AL
1970,PHI,Philadelphia Phillies,NL
1970,PIT,Pittsburgh Pirates,NL
1970,SDN,San Diego Padres,NL
1970,SFN,San Francisco Giants,NL
1970,SLN,St. Louis Cardinals,NL
1970,WS2,Washington Senators,AL
1971,ATL,Atlanta Braves,NL
1971,BAL,Baltimore Orioles,AL
1971,BOS,Boston Red Sox,AL
1971,CAL,California Angels,AL
1971,CHA,Chicago White Sox,AL
1971,CHN,Chicago Cubs,NL
1971,CIN,Cincinnati Reds,NL
1971,CLE,Cleveland Indians,AL
1971,DET,Detroit Tigers,AL
1971,HOU,Houston Astros,NL
1971,KCA,Kansas City Royals,AL
1971,LAN,Los Angeles Dodgers,NL
1971,MIN,Minnesota Twins,AL
1971,ML4,Milwaukee Brewers,AL
1971,MON,Montreal Expos,NL
1971,NYA,New York Yankees,AL
1971,NYN,New York Mets,NL
1971,OAK,Oakland Athletics,AL
1971,PHI,Philadelphia Phillies,NL
1971,PIT,Pittsburgh Pirates,NL
1971,SDN,San Diego Padres,NL
1971,SFN,San Francisco Giants,NL
1971,SLN,St. Louis Cardinals,NL
1971,WS2,Washington Senators,AL
1972,ATL,Atlanta Braves,NL
1972,BAL,Baltimore Orioles,AL
1972,BOS,Boston Red Sox,AL
1972,CAL,California Angels,AL
1972,CHA,Chicago White Sox,AL
1972,CHN,Chicago Cubs,NL
1972,CIN,Cincinnati Reds,NL
1972,CLE,Cleveland Indians,AL
1972,DET,Detroit Tigers,AL
1972,HOU,Houston Astros,NL
1972,KCA,Kansas City Royals,AL
1972,LAN,Los Angeles Dodgers,NL
1972,MIN,Minnesota Twins,AL
1972,ML4,Milwaukee Brewers,AL
1972,MON,Montreal Expos,NL
1972,NYA,New York Yankees,AL
1972,NYN,New York Mets,NL
1972,OAK,Oakland Athletics,AL
1972,PHI,Philadelphia Phillies,NL
1972,PIT,Pittsburgh Pirates,NL
1972,SDN,San Diego Padres,NL
1972,SFN,San Francisco Giants,NL
1972,SLN,St. Louis Cardinals,NL
1972,TEX,Texas Rangers,AL
1973,ATL,Atlanta Braves,NL
1973,BAL,Baltimore Orioles,AL
1973,BOS,Boston Red Sox,AL
1973,CAL,California Angels,AL
1973,CHA,Chicago White Sox,AL
1973,CHN,Chicago Cubs,NL
1973,CIN,Cincinnati Reds,NL
1973,CLE,Cleveland Indians,AL
1973,DET,Detroit Tigers,AL
1973,HOU,Houston Astros,NL
1973,KCA,Kansas City Royals,AL
1973,LAN,Los Angeles Dodgers,NL
1973,MIN,Minnesota Twins,AL
1973,ML4,Milwaukee Brewers,AL
1973,MON,Montreal Expos,NL
1973,NYA,New York Yankees,AL
1973,NYN,New York Mets,NL
1973,OAK,Oakland Athletics,AL
1973,PHI,Philadelphia Phillies,NL
1973,PIT,Pittsburgh Pirates,NL
1973,SDN,San Diego Padres,NL
1973,SFN,San Francisco Giants,NL
1973,SLN,St. Louis Cardinals,NL
1973,TEX,Texas Rangers,AL
1974,ATL,Atlanta Braves,NL
1974,BAL,Baltimore Orioles,AL
1974,BOS,Boston Red Sox,AL
1974,CAL,California Angels,AL
1974,CHA,Chicago White Sox,AL
1974,CHN,Chicago Cubs,NL
1974,CIN,Cincinnati Reds,NL
1974,CLE,Cleveland Indians,AL
1974,DET,Detroit Tigers,AL
1974,HOU,Houston Astros,NL
1974,KCA,Kansas City Royals,AL
1974,LAN,Los Angeles Dodgers,NL
1974,MIN,Minnesota Twins,AL
1974,ML4,Milwaukee Brewers,AL
1974,MON,Montreal Expos,NL
1974,NYA,New York Yankees,AL
1974,NYN,New York Mets,NL
1974,OAK,Oakland Athletics,AL
1974,PHI,Philadelphia Phillies,NL
1974,PIT,Pittsburgh Pirates,NL
1974,SDN,San Diego Padres,NL
1974,SFN,San Francisco Giants,NL
1974,SLN,St. Louis Cardinals,NL
1974,TEX,Texas Rangers,AL
1975,ATL,Atlanta Braves,NL
1975,BAL,Baltimore Orioles,AL
1975,BOS,Boston Red Sox,AL
1975,CAL,California Angels,AL
1975,CHA,Chicago White Sox,AL
1975,CHN,Chicago Cubs,NL
1975,CIN,Cincinnati Reds,NL
1975,CLE,Cleveland Indians,AL
1975,DET,Detroit Tigers,AL
1975,HOU,Houston Astros,NL
1975,KCA,Kansas City Royals,AL
1975,LAN,Los Angeles Dodgers,NL
1975,MIN,Minnesota Twins,AL
1975,ML4,Milwaukee Brewers,AL
1975,MON,Montreal Expos,NL
1975,NYA,New York Yankees,AL
1975,NYN,New York Mets,NL
1975,OAK,Oakland Athletics,AL
1975,PHI,Philadelphia Phillies,NL
1975,PIT,Pittsburgh Pirates,NL
1975,SDN,San Diego Padres,NL
1975,SFN,San Francisco Giants,NL
1975,SLN,St. Louis Cardinals,NL
1975,TEX,Texas Rangers,AL
1976,ATL,Atlanta Braves,NL
1976,BAL,Baltimore Orioles,AL
1976,BOS,Boston Red Sox,AL
1976,CAL,California Angels,AL
1976,CHA,Chicago White Sox,AL
1976,CHN,Chicago Cubs,NL
1976,CIN,Cincinnati Reds,NL
1976,CLE,Cleveland Indians,AL
1976,DET,Detroit Tigers,AL
1976,HOU,Houston Astros,NL
1976,KCA,Kansas City Royals,AL
1976,LAN,Los Angeles Dodgers,NL
1976,MIN,Minnesota Twins,AL
1976,ML4,Milwaukee Brewers,AL
1976,MON,Montreal Expos,NL
1976,NYA,New York Yankees,AL
1976,NYN,New York Mets,NL
1976,OAK,Oakland Athletics,AL
1976,PHI,Philadelphia Phillies,NL
1976,PIT,Pittsburgh Pirates,NL
1976,SDN,San Diego Padres,NL
1976,SFN,San Francisco Giants,NL
1976,SLN,St. Louis Cardinals,NL
1976,TEX,Texas Rangers,AL
1977,ATL,Atlanta Braves,NL
1977,BAL,Baltimore Orioles,AL
1977,BOS,Boston Red Sox,AL
1977,CAL,California Angels,AL
1977,CHA,Chicago White Sox,AL
1977,CHN,Chicago Cubs,NL
1977,CIN,Cincinnati Reds,NL
1977,CLE,Cleveland Indians,AL
1977,DET,Detroit Tigers,AL
1977,HOU,Houston Astros,NL
1977,KCA,Kansas City Royals,AL
1977,LAN,Los Angeles Dodgers,NL
1977,MIN,Minnesota Twins,AL
1977,ML4,Milwaukee Brewers,AL
1977,MON,Montreal Expos,NL
1977,NYA,New York Yankees,AL
1977,NYN,New York Mets,NL
1977,OAK,Oakland Athletics,AL
1977,PHI,Philadelphia Phillies,NL
1977,PIT,Pittsburgh Pirates,NL
1977,SDN,San Diego Padres,NL
1977,SEA,Seattle Mariners,AL
1977,SFN,San Francisco Giants,NL
1977,SLN,St. Louis Cardinals,NL
1977,TEX,Texas Rangers,AL
1977,TOR,Toronto Blue Jays,AL
1978,ATL,Atlanta Braves,NL
1978,BAL,Baltimore Orioles,AL
1978,BOS,Boston Red Sox,AL
1978,CAL,California Angels,AL
1978,CHA,Chicago White Sox,AL
1978,CHN,Chicago Cubs,NL
1978,CIN,Cincinnati Reds,NL
1978,CLE,Cleveland Indians,AL
1978,DET,Detroit Tigers,AL
1978,HOU,Houston Astros,NL
1978,KCA,Kansas City Royals,AL
1978,LAN,Los Angeles Dodgers,NL
1978,MIN,Minnesota Twins,AL
1978,ML4,Milwaukee Brewers,AL
1978,MON,Montreal Expos,NL
1978,NYA,New York Yankees,AL
1978,NYN,New York Mets,NL
1978,OAK,Oakland Athletics,AL
1978,PHI,Philadelphia Phillies,NL
1978,PIT,Pittsburgh Pirates,NL
1978,SDN,San Diego Padres,NL
1978,SEA,Seattle Mariners,AL
1978,SFN,San Francisco Giants,NL
1978,SLN,St. Louis Cardinals,NL
1978,TEX,Texas Rangers,AL
1978,TOR,Toronto Blue Jays,AL
1979,ATL,Atlanta Braves,NL
1979,BAL,Baltimore Orioles,AL
1979,BOS,Boston Red Sox,AL
1979,CAL,California Angels,AL
1979,CHA,Chicago White Sox,AL
1979,CHN,Chicago Cubs,NL
1979,CIN,Cincinnati Reds,NL
1979,CLE,Cleveland Indians,AL
1979,DET,Detroit Tigers,AL
1979,HOU,Houston Astros,NL
1979,KCA,Kansas City Royals,AL
1979,LAN,Los Angeles Dodgers,NL
1979,MIN,Minnesota Twins,AL
1979,ML4,Milwaukee Brewers,AL
1979,MON,Montreal Expos,NL
1979,NYA,New York Yankees,AL
1979,NYN,New York Mets,NL
1979,OAK,Oakland Athletics,AL
1979,PHI,Philadelphia Phillies,NL
1979,PIT,Pittsburgh Pirates,NL
1979,SDN,San Diego Padres,NL
1979,SEA,Seattle Mariners,AL
1979,SFN,San Francisco Giants,NL
1979,SLN,St. Louis Cardinals,NL
1979,TEX,Texas Rangers,AL
1979,TOR,Toronto Blue Jays,AL
1980,ATL,Atlanta Braves,NL
1980,BAL,Baltimore Orioles,AL
1980,BOS,Boston Red Sox,AL
1980,CAL,California Angels,AL
1980,CHA,Chicago White Sox,AL
1980,CHN,Chicago Cubs,NL
1980,CIN,Cincinnati Reds,NL
1980,CLE,Cleveland Indians,AL
1980,DET,Detroit Tigers,AL
1980,HOU,Houston Astros,NL
1980,KCA,Kansas City Royals,AL
1980,LAN,Los Angeles Dodgers,NL
1980,MIN,Minnesota Twins,AL
1980,ML4,Milwaukee Brewers,AL
1980,MON,Montreal Expos,NL
1980,NYA,New York Yankees,AL
1980,NYN,New York Mets,NL
1980,OAK,Oakland Athletics,AL
1980,PHI,Philadelphia Phillies,NL
1980,PIT,Pittsburgh Pirates,NL
1980,SDN,San Diego Padres,NL
1980,SEA,Seattle Mariners,AL
1980,SFN,San Francisco Giants,NL
1980,SLN,St. Louis Cardinals,NL
1980,TEX,Texas Rangers,AL
1980,TOR,Toronto Blue Jays,AL
1981,ATL,Atlanta Braves,NL
1981,BAL,Baltimore Orioles,AL
1981,BOS,Boston Red Sox,AL
1981,CAL,California Angels,AL
1981,CHA,Chicago White Sox,AL
1981,CHN,Chicago Cubs,NL
1981,CIN,Cincinnati Reds,NL
1981,CLE,Cleveland Indians,AL
1981,DET,Detroit Tigers,AL
1981,HOU,Houston Astros,NL
1981,KCA,Kansas City Royals,AL
1981,LAN,Los Angeles Dodgers,NL
1981,MIN,Minnesota Twins,AL
1981,ML4,Milwaukee Brewers,AL
1981,MON,Montreal Expos,NL
1981,NYA,New York Yankees,AL
1981,NYN,New York Mets,NL
1981,OAK,Oakland Athletics,AL
1981,PHI,Philadelphia Phillies,NL
1981,PIT,Pittsburgh Pirates,NL
1981,SDN,San Diego Padres,NL
1981,SEA,Seattle Mariners,AL
1981,SFN,San Francisco Giants,NL
1981,SLN,St. Louis Cardinals,NL
1981,TEX,Texas Rangers,AL
1981,TOR,Toronto Blue Jays,AL
1982,ATL,Atlanta Braves,NL
1982,BAL,Baltimore Orioles,AL
1982,BOS,Boston Red Sox,AL
1982,CAL,California Angels,AL
1982,CHA,Chicago White Sox,AL
1982,CHN,Chicago Cubs,NL
1982,CIN,Cincinnati Reds,NL
1982,CLE,Cleveland Indians,AL
1982,DET,Detroit Tigers,AL
1982,HOU,Houston Astros,NL
1982,KCA,Kansas City Royals,AL
1982,LAN,Los Angeles Dodgers,NL
1982,MIN,Minnesota Twins,AL
1982,ML4,Milwaukee Brewers,AL
1982,MON,Montreal Expos,NL
1982,NYA,New York Yankees,AL
1982,NYN,New York Mets,NL
1982,OAK,Oakland Athletics,AL
1982,PHI,Philadelphia Phillies,NL
1982,PIT,Pittsburgh Pirates,NL
1982,SDN,San Diego Padres,NL
1982,SEA,Seattle Mariners,AL
1982,SFN,San Francisco Giants,NL
1982,SLN,St. Louis Cardinals,NL
1982,TEX,Texas Rangers,AL
1982,TOR,Toronto Blue Jays,AL
1983,ATL,Atlanta Braves,NL
1983,BAL,Baltimore Orioles,AL
1983,BOS,Boston Red Sox,AL
1983,CAL,California Angels,AL
1983,CHA,Chicago White Sox,AL
1983,CHN,Chicago Cubs,NL
1983,CIN,Cincinnati Reds,NL
1983,CLE,Cleveland Indians,AL
1983,DET,Detroit Tigers,AL
1983,HOU,Houston Astros,NL
1983,KCA,Kansas City Royals,AL
1983,LAN,Los Angeles Dodgers,NL
1983,MIN,Minnesota Twins,AL
1983,ML4,Milwaukee Brewers,AL
1983,MON,Montreal Expos,NL
1983,NYA,New York Yankees,AL
1983,NYN,New York Mets,NL
1983,OAK,Oakland Athletics,AL
1983,PHI,Philadelphia Phillies,NL
1983,PIT,Pittsburgh Pirates,NL
1983,SDN,San Diego Padres,NL
1983,SEA,Seattle Mariners,AL
1983,SFN,San Francisco Giants,NL
1983,SLN,St. Louis Cardinals,NL
1983,TEX,Texas Rangers,AL
1983,TOR,Toronto Blue Jays,AL
1984,ATL,Atlanta Braves,NL
1984,BAL,Baltimore Orioles,AL
1984,BOS,Boston Red Sox,AL
1984,CAL,California Angels,AL
1984,CHA,Chicago White Sox,AL
1984,CHN,Chicago Cubs,NL
1984,CIN,Cincinnati Reds,NL
1984,CLE,Cleveland Indians,AL
1984,DET,Detroit Tigers,AL
1984,HOU,Houston Astros,NL
1984,KCA,Kansas City Royals,AL
1984,LAN,Los Angeles Dodgers,NL
1984,MIN,Minnesota Twins,AL
1984,ML4,Milwaukee Brewers,AL
1984,MON,Montreal Expos,NL
1984,NYA,New York Yankees,AL
1984,NYN,New York Mets,NL
1984,OAK,Oakland Athletics,AL
1984,PHI,Philadelphia Phillies,NL
1984,PIT,Pittsburgh Pirates,NL
1984,SDN,San Diego Padres,NL
1984,SEA,Seattle Mariners,AL
1984,SFN,San Francisco Giants,NL
1984,SLN,St. Louis Cardinals,NL
1984,TEX,Texas Rangers,AL
1984,TOR,Toronto Blue Jays,AL
1985,ATL,Atlanta Braves,NL
1985,BAL,Baltimore Orioles,AL
1985,BOS,Boston Red Sox,AL
1985,CAL,California Angels,AL
1985,CHA,Chicago White Sox,AL
1985,CHN,Chicago Cubs,NL
1985,CIN,Cincinnati Reds,NL
1985,CLE,Cleveland Indians,AL
1985,DET,Detroit Tigers,AL
1985,HOU,Houston Astros,NL
1985,KCA,Kansas City Royals,AL
1985,LAN,Los Angeles Dodgers,NL
1985,MIN,Minnesota Twins,AL
1985,ML4,Milwaukee Brewers,AL
1985,MON,Montreal Expos,NL
1985,NYA,New York Yankees,AL
1985,NYN,New York Mets,NL
1985,OAK,Oakland Athletics,AL
1985,PHI,Philadelphia Phillies,NL
1985,PIT,Pittsburgh Pirates,NL
1985,SDN,San Diego Padres,NL
1985,SEA,Seattle Mariners,AL
1985,SFN,San Francisco Giants,NL
1985,SLN,St. Louis Cardinals,NL
1985,TEX,Texas Rangers,AL
1985,TOR,Toronto Blue Jays,AL
1986,ATL,Atlanta Braves,NL
1986,BAL,Baltimore Orioles,AL
1986,BOS,Boston Red Sox,AL
1986,CAL,California Angels,AL
1986,CHA,Chicago White Sox,AL
1986,CHN,Chicago Cubs,NL
1986,CIN,Cincinnati Reds,NL
1986,CLE,Cleveland Indians,AL
1986,DET,Detroit Tigers,AL
1986,HOU,Houston Astros,NL
1986,KCA,Kansas City Royals,AL
1986,LAN,Los Angeles Dodgers,NL
1986,MIN,Minnesota Twins,AL
1986,ML4,Milwaukee Brewers,AL
1986,MON,Montreal Expos,NL
1986,NYA,New York Yankees,AL
1986,NYN,New York Mets,NL
1986,OAK,Oakland Athletics,AL
1986,PHI,Philadelphia Phillies,NL
1986,PIT,Pittsburgh Pirates,NL
1986,SDN,San Diego Padres,NL
1986,SEA,Seattle Mariners,AL
1986,SFN,San Francisco Giants,NL
1986,SLN,St. Louis Cardinals,NL
1986,TEX,Texas Rangers,AL
1986,TOR,Toronto Blue Jays,AL
1987,ATL,Atlanta Braves,NL
1987,BAL,Baltimore Orioles,AL
1987,BOS,Boston Red Sox,AL
1987,CAL,California Angels,AL
1987,CHA,Chicago White Sox,AL
1987,CHN,Chicago Cubs,NL
1987,CIN,Cincinnati Reds,NL
1987,CLE,Cleveland Indians,AL
1987,DET,Detroit Tigers,AL
1987,HOU,Houston Astros,NL
1987,KCA,Kansas City Royals,AL
1987,LAN,Los Angeles Dodgers,NL
1987,MIN,Minnesota Twins,AL
1987,ML4,Milwaukee Brewers,AL
1987,MON,Montreal Expos,NL
1987,NYA,New York Yankees,AL
1987,NYN,New York Mets,NL
1987,OAK,Oakland Athletics,AL
1987,PHI,Philadelphia Phillies,NL
1987,PIT,Pittsburgh Pirates,NL
1987,SDN,San Diego Padres,NL
1987,SEA,Seattle Mariners,AL
1987,SFN,San Francisco Giants,NL
1987,SLN,St. Louis Cardinals,NL
1987,TEX,Texas Rangers,AL
1987,TOR,Toronto Blue Jays,AL
1988,ATL,Atlanta Braves,NL
1988,BAL,Baltimore Orioles,AL
1988,BOS,Boston Red Sox,AL
1988,CAL,California Angels,AL
1988,CHA,Chicago White Sox,AL
1988,CHN,Chicago Cubs,NL
1988,CIN,Cincinnati Reds,NL
1988,CLE,Cleveland Indians,AL
1988,DET,Detroit Tigers,AL
1988,HOU,Houston Astros,NL
1988,KCA,Kansas City Royals,AL
1988,LAN,Los Angeles Dodgers,NL
1988,MIN,Minnesota Twins,AL
1988,ML4,Milwaukee Brewers,AL
1988,MON,Montreal Expos,NL
1988,NYA,New York Yankees,AL
1988,NYN,New York Mets,NL
1988,OAK,Oakland Athletics,AL
1988,PHI,Philadelphia Phillies,NL
1988,PIT,Pittsburgh Pirates,NL
1988,SDN,San Diego Padres,NL
1988,SEA,Seattle Mariners,AL
1988,SFN,San Francisco Giants,NL
1988,SLN,St. Louis Cardinals,NL
1988,TEX,Texas Rangers,AL
1988,TOR,Toronto Blue Jays,AL
1989,ATL,Atlanta Braves,NL
1989,BAL,Baltimore Orioles,AL
1989,BOS,Boston Red Sox,AL
1989,CAL,California Angels,AL
1989,CHA,Chicago White Sox,AL
1989,CHN,Chicago Cubs,NL
1989,CIN,Cincinnati Reds,NL
1989,CLE,Cleveland Indians,AL
1989,DET,Detroit Tigers,AL
1989,HOU,Houston Astros,NL
1989,KCA,Kansas City Royals,AL
1989,LAN,Los Angeles Dodgers,NL
1989,MIN,Minnesota Twins,AL
1989,ML4,Milwaukee Brewers,AL
1989,MON,Montreal Expos,NL
1989,NYA,New York Yankees,AL
1989,NYN,New York Mets,NL
1989,OAK,Oakland Athletics,AL
1989,PHI,Philadelphia Phillies,NL
1989,PIT,Pittsburgh Pirates,NL
1989,SDN,San Diego Padres,NL
1989,SEA,Seattle Mariners,AL
1989,SFN,San Francisco Giants,NL
1989,SLN,St. Louis Cardinals,NL
1989,TEX,Texas Rangers,AL
1989,TOR,Toronto Blue Jays,AL
1990,ATL,Atlanta Braves,NL
1990,BAL,Baltimore Orioles,AL
1990,BOS,Boston Red Sox,AL
1990,CAL,California Angels,AL
1990,CHA,Chicago White Sox,AL
1990,CHN,Chicago Cubs,NL
1990,CIN,Cincinnati Reds,NL
1990,CLE,Cleveland Indians,AL
1990,DET,Detroit Tigers,AL
1990,HOU,Houston Astros,NL
1990,KCA,Kansas City Royals,AL
1990,LAN,Los Angeles Dodgers,NL
1990,MIN,Minnesota Twins,AL
1990,ML4,Milwaukee Brewers,AL
1990,MON,Montreal Expos,NL
1990,NYA,New York Yankees,AL
1990,NYN,New York Mets,NL
1990,OAK,Oakland Athletics,AL
1990,PHI,Philadelphia Phillies,NL
1990,PIT,Pittsburgh Pirates,NL
1990,SDN,San Diego Padres,NL
1990,SEA,Seattle Mariners,AL
1990,SFN,San Francisco Giants,NL
1990,SLN,St. Louis Cardinals,NL
1990,TEX,Texas Rangers,AL
1990,TOR,Toronto Blue Jays,AL
1991,ATL,Atlanta Braves,NL
1991,BAL,Baltimore Orioles,AL
1991,BOS,Boston Red Sox,AL
1991,CAL,California Angels,AL
1991,CHA,Chicago White Sox,AL
1991,CHN,Chicago Cubs,NL
1991,CIN,Cincinnati Reds,NL
1991,CLE,Cleveland Indians,AL
1991,DET,Detroit Tigers,AL
1991,HOU,Houston Astros,NL
1991,KCA,Kansas City Royals,AL
1991,LAN,Los Angeles Dodgers,NL
1991,MIN,Minnesota Twins,AL
1991,ML4,Milwaukee Brewers,AL
1991,MON,Montreal Expos,NL
1991,NYA,New York Yankees,AL
1991,NYN,New York Mets,NL
1991,OAK,Oakland Athletics,AL
1991,PHI,Philadelphia Phillies,NL
1991,PIT,Pittsburgh Pirates,NL
1991,SDN,San Diego Padres,NL
1991,SEA,Seattle Mariners,AL
1991,SFN,San Francisco Giants,NL
1991,SLN,St. Louis Cardinals,NL
1991,TEX,Texas Rangers,AL
1991,TOR,Toronto Blue Jays,AL
1992,ATL,Atlanta Braves,NL
1992,BAL,Baltimore Orioles,AL
1992,BOS,Boston Red Sox,AL
1992,CAL,California Angels,AL
1992,CHA,Chicago White Sox,AL
1992,CHN,Chicago Cubs,NL
1992,CIN,Cincinnati Reds,NL
1992,CLE,Cleveland Indians,AL
1992,DET,Detroit Tigers,AL
1992,HOU,Houston Astros,NL
1992,KCA,Kansas City Royals,AL
1992,LAN,Los Angeles Dodgers,NL
1992,MIN,Minnesota Twins,AL
1992,ML4,Milwaukee Brewers,AL
1992,MON,Montreal Expos,NL
1992,NYA,New York Yankees,AL
1992,NYN,New York Mets,NL
1992,OAK,Oakland Athletics,AL
1992,PHI,Philadelphia Phillies,NL
1992,PIT,Pittsburgh Pirates,NL
1992,SDN,San Diego Padres,NL
1992,SEA,Seattle Mariners,AL
1992,SFN,San Francisco Giants,NL
1992,SLN,St. Louis Cardinals,NL
1992,TEX,Texas Rangers,AL
1992,TOR,Toronto Blue Jays,AL
1993,ATL,Atlanta Braves,NL
1993,BAL,Baltimore Orioles,AL
1993,BOS,Boston Red Sox,AL
1993,CAL,California Angels,AL
1993,CHA,Chicago White Sox,AL
1993,CHN,Chicago Cubs,NL
1993,CIN,Cincinnati Reds,NL
1993,CLE,Cleveland Indians,AL
1993,COL,Colorado Rockies,NL
1993,DET,Detroit Tigers,AL
1993,FLO,Florida Marlins,NL
1993,HOU,Houston Astros,NL
1993,KCA,Kansas City Royals,AL
1993,LAN,Los Angeles Dodgers,NL
1993,MIN,Minnesota Twins,AL
1993,ML4,Milwaukee Brewers,AL
1993,MON,Montreal Expos,NL
1993,NYA,New York Yankees,AL
1993,NYN,New York Mets,NL
1993,OAK,Oakland Athletics,AL
1993,PHI,Philadelphia Phillies,NL
1993,PIT,Pittsburgh Pirates,NL
1993,SDN,San Diego Padres,NL
1993,SEA,Seattle Mariners,AL
1993,SFN,San Francisco Giants,NL
1993,SLN,St. Louis Cardinals,NL
1993,TEX,Texas Rangers,AL
1993,TOR,Toronto Blue Jays,AL
1994,ATL,Atlanta Braves,NL
1994,BAL,Baltimore Orioles,AL
1994,BOS,Boston Red Sox,AL
1994,CAL,California Angels,AL
1994,CHA,Chicago White Sox,AL
1994,CHN,Chicago Cubs,NL
1994,CIN,Cincinnati Reds,NL
1994,CLE,Cleveland Indians,AL
1994,COL,Colorado Rockies,NL
1994,DET,Detroit Tigers,AL
1994,FLO,Florida Marlins,NL
1994,HOU,Houston Astros,NL
1994,KCA,Kansas City Royals,AL
1994,LAN,Los Angeles Dodgers,NL
1994,MIN,Minnesota Twins,AL
1994,ML4,Milwaukee Brewers,AL
1994,MON,Montreal Expos,NL
1994,NYA,New York Yankees,AL
1994,NYN,New York Mets,NL
1994,OAK,Oakland Athletics,AL
1994,PHI,Philadelphia Phillies,NL
1994,PIT,Pittsburgh Pirates,NL
1994,SDN,San Diego Padres,NL
1994,SEA,Seattle Mariners,AL
1994,SFN,San Francisco Giants,NL
1994,SLN,St. Louis Cardinals,NL
1994,TEX,Texas Rangers,AL
