county,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,region
Arlington County,38.866163,-77.080071,22.516852496725345,93903.0,27.866334033613445,32.6,70.0,7.0,7.0,57.0,4.0,27.0,3.0,5.0,4.0,northern_virginia
Arlington County,38.855421,-77.093697,22.53351128648523,86165.0,25.751061571125266,34.6,80.0,14.0,1.0,56.0,10.0,20.0,6.0,5.0,3.0,northern_virginia
Arlington County,38.855872,-77.102091,33.15045317220544,41375.0,28.415085608514577,32.4,77.0,4.0,12.0,66.0,6.0,26.0,0.0,1.0,2.0,northern_virginia
Arlington County,38.851043,-77.098261,26.30070942981297,94583.0,28.83076923076923,32.9,84.0,12.0,2.0,66.0,12.0,11.0,6.0,1.0,4.0,northern_virginia
Arlington County,38.851208,-77.111205,25.98418993092943,76154.0,29.044782704610633,33.6,84.0,5.0,6.0,67.0,10.0,18.0,1.0,2.0,3.0,northern_virginia
Arlington County,38.846584,-77.103158,21.50131095531245,121667.0,27.68166089965398,39.9,87.0,1.0,7.0,61.0,5.0,15.0,0.0,2.0,17.0,northern_virginia
Arlington County,38.841232,-77.097478,20.97674081588291,110408.0,30.351823317925014,35.8,85.0,3.0,6.0,69.0,4.0,22.0,0.0,2.0,3.0,northern_virginia
Arlington County,38.840515,-77.092903,24.672920653844947,95619.0,30.777089783281735,35.5,69.0,13.0,9.0,58.0,7.0,25.0,3.0,2.0,6.0,northern_virginia
Arlington County,38.833672,-77.089356,18.47517276200668,132697.0,30.493827160493826,36.1,83.0,6.0,3.0,65.0,7.0,19.0,0.0,1.0,7.0,northern_virginia
Arlington County,38.851179,-77.082968,22.375070473066476,97555.0,27.17911625460284,33.4,84.0,6.0,3.0,75.0,8.0,12.0,2.0,1.0,2.0,northern_virginia
Arlington County,38.859824,-77.083359,22.73578206700665,92946.0,29.505923871943533,32.9,72.0,11.0,10.0,56.0,6.0,26.0,1.0,4.0,8.0,northern_virginia
Arlington County,38.8628,-77.073069,20.843835616438355,91250.0,25.685944855413585,33.0,81.0,9.0,3.0,56.0,2.0,29.0,2.0,3.0,9.0,northern_virginia
Arlington County,38.877998,-77.078914,119.07783251231527,25375.0,8.996212121212121,22.6,66.0,8.0,0.0,25.0,10.0,9.0,37.0,1.0,17.0,northern_virginia
Arlington County,38.856564,-77.049761,24.02158768232244,113398.0,26.559184812953657,35.0,55.0,13.0,4.0,34.0,3.0,48.0,5.0,3.0,6.0,northern_virginia
